SC, 0.99460993924604246, SA, 0.0052605660768586986, DM, 0.00012949406197991536,SC, 0.46341986092594978, HA, 0.29303947459052632, ST, 0.19427978936797047
SC, 0.99992448912645915, SA, 7.4226329511186908e-05, DM, 1.2842597470188436e-06,RE, 0.627367868120976, SC, 0.19791859539841952, CK, 0.069833701119041566
SA, 0.99602811556591109, SC, 0.0023484974421387338, DM, 0.0016233849674350668,ST, 0.50768027157488127, RE, 0.20617244354407194, SC, 0.086301414378109009
SA, 0.77681108023095402, DM, 0.20708922012918227, SC, 0.016099691142205681,ST, 0.47104073789562906, RE, 0.33260191443115816, CK, 0.1243905858174281
SA, 0.99999832710453485, SC, 1.2674974585237821e-06, CH, 4.053979999680746e-07,ST, 0.50954018224873421, RE, 0.26782955908236811, CK, 0.16068547192768068
DM, 0.9263744657935552, SC, 0.073592820994262231, SA, 3.2708955946507079e-05,SC, 0.35917014094134853, ST, 0.28589456303883576, RE, 0.15435529956171418
DB, 0.96320520123703102, SC, 0.023286406274698308, DM, 0.013353464652206711,ST, 0.75971041568956132, RE, 0.082592762208766282, CK, 0.068475539816691536
SA, 0.99999262914356568, SC, 6.5958243380945225e-06, CH, 7.6580856854479517e-07,ST, 0.58758212039035651, RE, 0.20874006204943851, CK, 0.12158317123456733
SA, 0.92556983535080706, DM, 0.07438074482953777, SC, 4.9410008218272027e-05,ST, 0.50368141874863503, RE, 0.28960809532343024, SC, 0.13564831662787738
SC, 0.99993647954833109, DM, 6.3520451236279748e-05, DB, 2.2257523483964101e-13,ST, 0.35091583726454595, RE, 0.34273078742629276, CK, 0.11796826366818049
SC, 0.99997521264104383, DM, 2.4787264002916559e-05, SA, 9.4949549088226939e-11,CK, 0.42579226106542883, ST, 0.2658752826999351, HA, 0.15758202165388493
SA, 0.99562160357578, DM, 0.0031641727295843407, SC, 0.0012142204989343329,RE, 0.56165529739341935, ST, 0.20090307531912044, CK, 0.17867174704806987
SC, 0.99950428272164693, DM, 0.00047802003506450285, SA, 1.730837554394712e-05,HA, 0.3434521784525974, ST, 0.32139385367190104, SC, 0.26960313070660313
SC, 0.96651003870933172, SA, 0.033484703893304019, CH, 5.1924098463423351e-06,ST, 0.40490184816257457, RE, 0.38465189165786084, CK, 0.11061558176097364
SC, 0.99938204384964258, DM, 0.00061760305247956051, SA, 3.5261439688847736e-07,RE, 0.69873774020168133, ST, 0.1734934527822137, SC, 0.051395047080260887
SC, 0.68443582093860644, DM, 0.31471882591427175, DB, 0.0008452098430813018,ST, 0.50501103065291519, RE, 0.2611880708138668, CK, 0.14117862355046484
SA, 0.99872565579691885, SC, 0.0012728718347450308, CH, 1.0969013345052219e-06,ST, 0.42000282865668909, RE, 0.23098926187656504, CK, 0.12417840413568655
DB, 0.70110536530823253, SC, 0.16796098686375688, DM, 0.13081646382936038,RE, 0.48800181837523654, ST, 0.28336063773137915, CK, 0.16428942907066441
SC, 0.81940585058584192, DB, 0.10338883805919109, DM, 0.077204939558218777,ST, 0.62502670437628849, HA, 0.13768112029373819, SC, 0.089738476871089351
SA, 0.91065978692356742, SC, 0.087835927725421675, DM, 0.001504285346424576,RE, 0.42405088815182618, SC, 0.28428038004782208, ST, 0.16425837712523689
SA, 0.99999789279664142, SC, 1.3505486244610477e-06, DM, 7.5603534356444161e-07,HA, 0.50852860828640478, ST, 0.21693137153578221, SC, 0.19342785020778108
SA, 0.98939861120228145, DM, 0.0063210930342430813, SC, 0.0042802923207879836,HA, 0.55179453374810028, ST, 0.33361947030900102, SC, 0.050007802519383401
SC, 0.99898597813708456, DM, 0.0010140217183144044, SA, 1.441752180041493e-10,ST, 0.55321658978085608, RE, 0.14751182591671325, CK, 0.14043757910651433
SC, 0.60030039773749, DB, 0.38552658604150764, DM, 0.0113264299522587,RE, 0.95351016507392683, ST, 0.014962850372520832, SC, 0.013962161028924247
SC, 0.99999743301807364, DM, 1.7635132108982562e-06, ST, 6.7913040524461799e-07,ST, 0.43520627123107369, CK, 0.25429595694381274, RE, 0.12883474433208475
DB, 0.72441517074150308, SC, 0.25603651560309415, DM, 0.019035381408300873,HA, 0.53813995187719055, SC, 0.26194685804882878, ST, 0.16658440249097531
SC, 0.9997853575666974, SA, 0.00021463134233578297, DM, 1.0547853662957713e-08,ST, 0.59229807235532383, RE, 0.16007788090400046, CK, 0.10606234877772051
SA, 0.99781810302586593, SC, 0.0021808076418622516, CH, 1.0893307596958191e-06,ST, 0.64962885324492292, RE, 0.17031621895256388, CK, 0.07598447136269619
SC, 0.99963408089684891, DM, 0.00036576006495919917, SA, 1.3723988891513243e-07,ST, 0.54668962977588775, HA, 0.2669492549510829, SC, 0.11624993823027056
SA, 0.99999497631008416, SC, 4.3484242730423644e-06, DM, 4.5755644667318108e-07,ST, 0.51362336328626146, RE, 0.3024651592801928, CK, 0.09879026522376548
SA, 0.95957888479626663, SC, 0.040232096121516715, DM, 0.0001890092125773883,RE, 0.47669453867902734, ST, 0.40029855759007738, CK, 0.056834085364243753
SC, 0.99999999998482636, DM, 1.4744696918157473e-11, RE, 2.2840500216014973e-13,ST, 0.64040498106293631, HA, 0.13884087130626002, SC, 0.09429171739615394
DB, 0.94118372984477838, SC, 0.030602067369308931, DM, 0.023890547005365935,RE, 0.46973159876927734, ST, 0.41273674143769928, CK, 0.060389008274261517
SA, 0.99999996470260843, DM, 3.46814192762927e-08, CH, 4.6387786003661488e-10,ST, 0.41413230509483817, HA, 0.37039642674458512, CK, 0.077176766686968615
SA, 0.9999999998400384, CH, 1.4431206538352393e-10, SC, 1.5580204754133182e-11,SC, 0.35978421208689132, RE, 0.22954699299088455, ST, 0.21740502627967387
SA, 0.94587416294255622, SC, 0.049571286005169655, DM, 0.0045545177692868401,RE, 0.81888392557012002, ST, 0.086508818833336262, CK, 0.054122751324165844
DM, 0.68754106446659713, SA, 0.30080487090199715, SC, 0.011651457370605398,RE, 0.58523532020183933, ST, 0.22263055468416559, CK, 0.090280320826978858
SA, 0.99999997994418832, CH, 1.6030543163249765e-08, SC, 4.0252672056374737e-09,ST, 0.74352744200687526, HA, 0.16630754594409639, SC, 0.057428530661059747
SC, 0.88185759215285997, DM, 0.1106863009959286, ST, 0.0074517450628896935,ST, 0.39987873424092241, CK, 0.21811652937690204, RE, 0.20068902466488908
DM, 0.50591065009551139, SC, 0.49407748772273136, SA, 1.1860924414141431e-05,RE, 0.9392677123985036, ST, 0.021579454129318592, SC, 0.016214725989450535
DM, 0.73086517888896407, SC, 0.26884204334389977, DB, 0.00029252662565941662,ST, 0.50969947788870362, RE, 0.27742925275199848, CK, 0.12627920453604446
SC, 0.80815360985976648, DM, 0.19184484532124582, SA, 1.5374434656935181e-06,ST, 0.26391625634871296, RE, 0.20816238824416339, CK, 0.20003067156117141
SC, 0.70231182071644893, SA, 0.29761826207540271, CH, 6.1558530889951408e-05,ST, 0.3861713167458285, RE, 0.23007904410197694, CK, 0.17798185726378379
SA, 0.99997885622694516, SC, 2.048703109672954e-05, CH, 6.5666968730691725e-07,ST, 0.55036982131666556, HA, 0.29001248106972849, SC, 0.053345989107402403
SA, 0.66271090309257241, SC, 0.33728906412068937, CH, 3.1061471236831217e-08,RE, 0.8785743216803944, ST, 0.079459611561889215, CK, 0.02175669583351381
SA, 0.999999987414813, SC, 6.5906884840047217e-09, DM, 4.3770461986753181e-09,ST, 0.31238461255127736, SC, 0.28707571636773405, HA, 0.16674087838605678
SA, 0.99997027836000496, SC, 2.9649264221773486e-05, CH, 4.0529694490135292e-08,RE, 0.67628929457536358, ST, 0.16332444508744537, CK, 0.1021634691590791
SC, 0.99999995026923783, ST, 3.013710936607445e-08, DB, 1.9544976087657831e-08,ST, 0.65458290490634941, RE, 0.12644432403479619, HA, 0.066767131934539717
SC, 0.99998324653427251, DM, 1.1980354842631795e-05, DB, 4.7729902647356542e-06,ST, 0.71084716961571648, RE, 0.12825633855987889, CK, 0.089643035160023685
SC, 0.8250525586767663, DM, 0.17222333607212084, DB, 0.0027205213392551991,RE, 0.57092469326995332, ST, 0.27701606983835009, CK, 0.08625542683213791
SC, 0.78364558616251911, SA, 0.21626669902816456, CH, 8.7713621770343252e-05,ST, 0.38840819626107376, RE, 0.23539159562480244, CK, 0.23322299288825235
SC, 0.97785126652947929, DM, 0.01203718368358692, SA, 0.010109879039950774,ST, 0.69466380802431116, HA, 0.1617470869478545, RE, 0.05115678379338439
SA, 0.6245720193425891, SC, 0.228896491538116, DM, 0.1465314541618116,ST, 0.36970040060292841, CK, 0.33823559969489103, RE, 0.11612802167440732
SA, 0.88609138291335732, SC, 0.11379938768802188, DM, 0.00010903043614264838,RE, 0.41526963997654326, SC, 0.28153446608152877, ST, 0.17033160499559399
SA, 0.55243244991787077, SC, 0.44750548369601501, CH, 6.2066385701423557e-05,ST, 0.65524011607551125, RE, 0.14188521298532866, CK, 0.068192467148253083
SA, 0.9276717006826839, SC, 0.072327992128189786, DM, 3.0542082512033672e-07,ST, 0.53981810307574241, RE, 0.20654837531847947, CK, 0.11670552281321166
SA, 0.94365001391154613, SC, 0.037957961443639672, DM, 0.018391864806824712,ST, 0.29715284683077647, HA, 0.21965939662090042, CK, 0.18936439997775062
SA, 0.99250199579342091, SC, 0.0074930156175993835, CH, 4.1379654217983386e-06,CK, 0.32864946090074548, ST, 0.2994019951509963, RE, 0.15730281874175589
SA, 0.98489947623880059, SC, 0.015066717617715702, CH, 3.3793912215714722e-05,ST, 0.44526845589634811, RE, 0.32083381683316359, CK, 0.13432000997988539
SA, 0.99999944486279801, SC, 4.9808401685482002e-07, DM, 4.8128264148713698e-08,RE, 0.75078245760488449, ST, 0.20173618872383298, CK, 0.015860405097685951
SA, 0.58869103546768653, SC, 0.38477323920361872, DM, 0.026535722063464866,ST, 0.38838842781296368, HA, 0.29514902359809003, RE, 0.10031715430407039
SA, 0.93872807244140444, SC, 0.042781548663137638, DM, 0.01849022156736076,SC, 0.33388027065857817, ST, 0.27399773821498563, RE, 0.24715125523751053
SA, 0.99999999507672044, CH, 3.027500978975677e-09, SC, 1.8957347932455644e-09,RE, 0.93673345851771828, ST, 0.031397281176879011, CK, 0.013929684603824911
SA, 0.99832088714830847, SC, 0.0016786883322072981, DM, 2.1867623151694993e-07,RE, 0.7378894996989015, ST, 0.19424758494214292, CK, 0.028879953380621295
SC, 0.87008417442669428, DM, 0.1287053934645844, DB, 0.0011832616668225782,ST, 0.49381869261649464, HA, 0.22563192373815347, CK, 0.13252744847034229
SA, 0.99968853308839001, SC, 0.00031128944299934556, CH, 1.52019410616654e-07,RE, 0.88410790949175744, ST, 0.083730938470563579, CK, 0.011061834724626157
SA, 0.98718451311738242, SC, 0.012809573771913061, CH, 5.8971452492029618e-06,RE, 0.60058468552129862, SC, 0.1565396262110717, CK, 0.12996422491142939
DM, 0.99760773312896311, SA, 0.0017590074012350119, SC, 0.00062607201046382466,RE, 0.35945732194274577, ST, 0.26935714854096604, SC, 0.21163806001514662
SC, 0.98284786164303783, SA, 0.016337544847830419, CH, 0.00075779716701272445,ST, 0.4161730267245331, RE, 0.15412988208309833, HA, 0.15251903975776723
SA, 0.99853765977959186, SC, 0.0014621517624267347, CH, 1.6449858779556016e-07,RE, 0.43699339932193215, SC, 0.33839350533837348, ST, 0.13404765935017465
DM, 0.68181421891232075, SC, 0.27063930973413003, SA, 0.047545976449320473,SC, 0.47033932332300482, HA, 0.27976645452860799, ST, 0.19746918799811752
SA, 0.8499406981730262, DM, 0.14980283959574664, SC, 0.00025646170763350131,RE, 0.867586661746655, ST, 0.084346211279400451, CK, 0.024915644365202015
SA, 0.98320833054403034, DM, 0.016115432307529907, SC, 0.00067623627057206235,ST, 0.58056276986727384, RE, 0.18583811528291216, CK, 0.079621820535064891
SC, 0.82319887542152403, DM, 0.17674712569837725, SA, 5.3998870830528904e-05,ST, 0.63080970236245204, HA, 0.1100602234526928, SC, 0.099514182643473725
SC, 0.99988758003980327, DM, 0.00010488770422593242, SA, 7.3102037107058563e-06,HA, 0.46692969419823666, ST, 0.35808090319957614, SC, 0.077105879728116611
SC, 0.96367653342288906, DM, 0.036323462987788338, RE, 2.2975613678831404e-09,ST, 0.49123505278598167, SC, 0.21017915017046349, RE, 0.16093541864423352
SA, 0.999999998508879, CH, 1.3728503923859584e-09, DM, 9.6202108793718717e-11,ST, 0.49933922352928339, HA, 0.28705431380571711, SC, 0.084680835012388073
SC, 0.60514047693500406, DM, 0.39485753664928835, DB, 1.9862028629335482e-06,ST, 0.55405478034031475, HA, 0.19776646129390071, CK, 0.12835710357722224
SC, 0.99996137263588047, DM, 2.4830890281140344e-05, SA, 1.3425905324307914e-05,SC, 0.53297141378210444, ST, 0.19501827483757, HA, 0.18600639510490632
SA, 0.99999982045145552, SC, 1.5701446334270396e-07, CH, 2.2534033830333033e-08,RE, 0.66187461531602165, ST, 0.26642581279702654, SC, 0.023531407370324706
SC, 0.76435696354194904, DM, 0.23564197950919771, DB, 1.0218540592506011e-06,HA, 0.4993831377095666, ST, 0.24055999910659476, SC, 0.18552879381220302
SC, 0.99996058275022015, DM, 3.9317631991313283e-05, DB, 7.1476073998103362e-08,RE, 0.37859934041739779, ST, 0.36820469741523071, CK, 0.12722034287206047
SC, 0.99999997656480943, DB, 1.5291467435694009e-08, DM, 8.1371862145571398e-09,RE, 0.78572048087469182, ST, 0.16334180953106486, CK, 0.021699788752205608
SC, 0.99259421695563044, DB, 0.0041293361319608684, DM, 0.0032763863396477882,ST, 0.50221643347788203, RE, 0.21177286553595531, HA, 0.098808380918543812
SC, 0.72383518872852537, DM, 0.27615892906291767, SA, 5.880828278760611e-06,ST, 0.5162971251098798, RE, 0.24449093171536984, SC, 0.13768670321508564
SA, 0.99864380315982615, DM, 0.0012168728469229336, SC, 0.00013932360154626759,RE, 0.40048756454222018, ST, 0.38805514431010191, CK, 0.11633598333447877
DM, 0.88905768901151061, SA, 0.1024493682588396, SC, 0.0084929355757586682,ST, 0.4285712200657853, CK, 0.28775528718880083, HA, 0.15549969641789393
SA, 0.99999999223724767, CH, 6.094212511533322e-09, SC, 1.6683896994447939e-09,ST, 0.33485191942782233, SC, 0.30519487378631444, RE, 0.28263112829138848
SA, 0.99492282495598128, DM, 0.0049422653543540664, SC, 0.00013490593258756769,RE, 0.44224146991823071, ST, 0.20726656437800789, SC, 0.16275850405328535
SA, 0.99992813125770996, DM, 4.9155081457986989e-05, SC, 2.2704914869493037e-05,ST, 0.40275103292514425, CK, 0.3013882183230871, HA, 0.12518077194796912
SA, 0.99999999013388241, DM, 9.3654899156695707e-09, CH, 4.0408546049954279e-10,ST, 0.52436492838946369, HA, 0.24204774257816425, CK, 0.088143174776621827
SA, 0.99999999981596299, CH, 1.6578186148773407e-10, SC, 1.822963660625939e-11,ST, 0.53066485335480595, HA, 0.26938867123119964, SC, 0.10396146686338827
DM, 0.67429982236890706, SC, 0.32545491293051371, SA, 0.0002452263735846088,RE, 0.44198366466978289, SC, 0.24412501078772503, ST, 0.18818770431525186
SA, 0.86766279074846853, SC, 0.12690650583122284, DM, 0.0054306747123892066,RE, 0.93297125034621242, SC, 0.026622158711315992, CK, 0.01863531443440716
DM, 0.99775093355042155, SC, 0.002246470044006224, DB, 1.5217649969078415e-06,RE, 0.47111538829189303, ST, 0.2143054628856704, SC, 0.15557853530102214
SC, 0.87113867301863745, DM, 0.12688941729010186, SA, 0.0019718746725759504,RE, 0.78084615813821256, ST, 0.16824405665482101, CK, 0.02490500753712906
SC, 0.59205798626911899, DB, 0.39304266955942202, DM, 0.012020834634527244,RE, 0.40271007318541202, ST, 0.38042257264064849, CK, 0.14115215150354829
SC, 0.69879715237938045, DM, 0.30112004399438058, SA, 8.2803032675212321e-05,ST, 0.41327557580451818, HA, 0.30376164694321528, SC, 0.20930745369270576
SA, 0.99999999985899168, CH, 1.2834326475685937e-10, SC, 1.2645726169326971e-11,CK, 0.46077805560012181, ST, 0.20847882549727897, HA, 0.17052259101264663
DM, 0.53016177994092084, SC, 0.46982488926323868, SA, 1.3330289172273699e-05,ST, 0.38038567623934216, RE, 0.33195656928237388, CK, 0.20082899940442867
DM, 0.5309612802043433, SC, 0.46903849582745449, SA, 1.7402887752986896e-07,ST, 0.35382669591998234, CK, 0.28456223133809244, RE, 0.28268842595128163
SC, 0.99999865172297953, DM, 1.1786571073324477e-06, DB, 1.6961173003143821e-07,ST, 0.40921090011212902, RE, 0.23652606646726609, SC, 0.16367275239742685
